UniqueCount	AmbigCount
0	509
0	1811
6	904
19	4665
51	1305
0	2961
36	754
149	185
36	3381
0	4533
0	1748
3	462
1	1695
1	1523
18	1792
75	192
168	227
55	3383
23	3362
4	767
4	2847
16	188
228	8
188	8
101	297
209	245
59	5253
0	5681
331	0
75	2051
130	273
14	7253
0	8699
0	8993
0	7914
0	9036
0	6899
55	454
1	924
23	1216
26	1330
0	3362
1	3749
0	2964
0	3279
0	3214
2	3588
42	7336
0	2284
0	1475
155	102
86	2968
0	745
0	1439
1	744
0	983
0	1195
137	0
0	1119
0	1013
0	714
3	1021
134	1030
0	688
385	725
149	377
146	811
240	434
0	8880
0	8784
0	1818
33	735
258	3403
96	556
116	3497
94	3279
132	2987
338	633
182	633
56	1162
0	1222
38	1121
0	173
8	2075
58	428
10	1509
272	186
2	1989
19	512
680	142
118	142
24	1957
21	2747
0	3160
100	3368
87	2884
0	3160
418	8
0	137
264	210
109	258
52	0
202	0
26	5596
44	5619
50	5579
127	474
60	333
279	25
166	25
104	6026
105	3260
98	7189
96	7302
0	976
3	666
502	18
34	589
0	591
727	1219
21620	9311
439	6080
961	22
513	2595
1256	7459
126	915
149	936
106	277
97	7
74	98
120	51
1523	1343
53	1342
69	987
83	863
329	432
200	0
73	3855
0	3546
0	3609
0	3918
195	3822
16	2733
1	3500
1671	177
86	177
140	34
626	2257
28	189
0	2257
58	309
92	12
45	684
75	684
51	430
106	1104
4	2414
26	2159
184	656
255	3
31	63
126	33
111	264
43	933
31	964
63	931
97	977
61	1077
264	1116
191	261
912	24419
660	24559
661	2062
0	8936
16	7481
0	8235
17	9038
36	7842
119	7206
0	6918
193	885
78	6037
299	3941
110	242
167	621
174	2557
69	836
108	0
388	27
100	0
808	261
81	261
794	2513
504	1954
0	794
16	695
85	656
33	373
1630	0
0	2743
42	2572
54	573
0	8667
0	8737
0	8737
66	159
251	328
198	3295
199	1632
938	2733
13	2758
59	2291
98	2826
6	967
8	999
102	332
114	4655
0	4888
74	4719
342	4518
84	303
675	791
71	234
64	2599
351	991
86	2994
12	3121
27	2978
71	72
97	77
47	1108
109	773
99	860
195	149
333	910
0	516
119	507
0	3866
56	4219
38	4038
54	3819
0	3662
137	3763
18	3202
96	1036
85	3683
16	1458
69	1328
112	233
65	1605
109	18
93	17
85	18
275	40
49	5869
61	5869
130	0
20	1146
17	1126
36	869
138	574
137	370
164	127
0	6351
0	6207
0	6511
0	6686
54	5916
0	6724
0	6485
23	3323
716	0
930	0
594	0
99	0
286	0
307	0
94	0
156	0
135	0
316	0
478	0
241	0
174	0
102	0
235	0
139	0
82	0
89	0
79	0
